Locus	sgRNA	Beta	zscore	pvalue	FDR	wald_pvalue	wald_fdr	Cas_variant	FACS_protein	sgRNA_group
rs357479	2	0.099578	0.79972	0.50473	0.98357	0.42387	0.92607	KRAB	SELE	CAD_loci
rs441750	2	-0.072494	-1.1255	0.67786	0.98357	0.26039	0.89225	KRAB	SELE	CAD_loci
rs10485508	4	0.1906	2.2444	0.13009	0.96842	0.02481	0.71847	KRAB	SELE	CAD_loci
rs17677363	5	0.12071	1.3542	0.28477	0.98357	0.17567	0.86619	KRAB	SELE	CAD_loci
rs77140532	5	-0.093738	-1.0219	0.44844	0.98357	0.30684	0.89323	KRAB	SELE	CAD_loci
rs17011681	5	0.094894	0.9384	0.39262	0.98357	0.34804	0.91001	KRAB	SELE	CAD_loci
rs5760308	2	-0.0027508	-0.023677	0.99054	0.99905	0.98111	0.99867	KRAB	SELE	CAD_loci
rs6475606	5	-0.16174	-1.7008	0.18307	0.98357	0.088987	0.85334	KRAB	SELE	CAD_loci
rs2119689	4	0.00038068	0.0040954	0.97729	0.99761	0.99673	0.99867	KRAB	SELE	CAD_loci
rs78704804	5	-0.10463	-0.8298	0.39735	0.98357	0.40665	0.92062	KRAB	SELE	CAD_loci
rs5011520	1	0.1816	1.2565	0.37086	0.98357	0.20894	0.87893	KRAB	SELE	CAD_loci
rs1537374	3	-0.060649	-0.56153	0.68638	0.98357	0.57443	0.95077	KRAB	SELE	CAD_loci
rs9910365	5	0.023093	0.31039	0.79849	0.98547	0.75626	0.96039	KRAB	SELE	CAD_loci
rs9303429	5	-0.14931	-1.1898	0.21854	0.98357	0.23413	0.88626	KRAB	SELE	CAD_loci
rs4845625	5	0.052955	0.35927	0.60738	0.98357	0.71939	0.96005	KRAB	SELE	CAD_loci
rs3784935	4	0.033561	0.23782	0.75875	0.98357	0.81202	0.96493	KRAB	SELE	CAD_loci
rs17317888	5	0.1317	0.82313	0.25071	0.98357	0.41043	0.92062	KRAB	SELE	CAD_loci
rs62233147	5	-0.16953	-1.9203	0.15989	0.97989	0.054814	0.84	KRAB	SELE	CAD_loci
rs10511701	4	0.15346	1.168	0.21476	0.98357	0.2428	0.8865	KRAB	SELE	CAD_loci
rs1515110	1	0.11391	0.66143	0.56055	0.98357	0.50834	0.95077	KRAB	SELE	CAD_loci
rs17163345	5	-0.20628	-1.1214	0.0965	0.9551	0.2621	0.89225	KRAB	SELE	CAD_loci
rs1515100	5	-0.049135	-0.427	0.70719	0.98357	0.66938	0.96005	KRAB	SELE	CAD_loci
rs12579302	5	-0.14742	-1.0231	0.22469	0.98357	0.30627	0.89323	KRAB	SELE	CAD_loci
rs2854956	5	0.068062	0.55932	0.51703	0.98357	0.57594	0.95077	KRAB	SELE	CAD_loci
rs17696749	2	0.026703	0.30063	0.84059	0.98547	0.7637	0.96156	KRAB	SELE	CAD_loci
rs4414197	5	0.13191	1.2505	0.25024	0.98357	0.21113	0.87893	KRAB	SELE	CAD_loci
rs8074850	5	-0.1326	-1.1294	0.27578	0.98357	0.25872	0.89225	KRAB	SELE	CAD_loci
rs62233999	5	0.11771	0.77089	0.29565	0.98357	0.44077	0.93548	KRAB	SELE	CAD_loci
rs1713987	4	0.03172	0.38141	0.76916	0.98357	0.7029	0.96005	KRAB	SELE	CAD_loci
rs73993553	5	-0.15224	-1.4532	0.20435	0.98357	0.14616	0.85973	KRAB	SELE	CAD_loci
rs2644107	5	-0.18385	-1.6798	0.1263	0.96057	0.092998	0.85334	KRAB	SELE	CAD_loci
Ess_GECKO_EIF3D	6	-0.050176	-0.65635	0.64002	0.98357	0.5116	0.95077	KRAB	SELE	essential_genes
rs1713842	3	-0.13752	-0.47608	0.35241	0.98357	0.63401	0.95964	KRAB	SELE	CAD_loci
Ess_SAM_RPS15A	5	0.59635	2.1814	0	0	0.029152	0.7388	KRAB	SELE	essential_genes
rs75383229	1	-0.11173	-0.65046	0.64806	0.98357	0.51539	0.95077	KRAB	SELE	CAD_loci
rs2596629	4	-0.093608	-0.8106	0.46736	0.98357	0.4176	0.92449	KRAB	SELE	CAD_loci
rs1537376	5	0.052615	0.4991	0.60927	0.98357	0.61771	0.95964	KRAB	SELE	CAD_loci
rs7137828	2	0.48928	1.7491	0.022706	0.85714	0.080269	0.85334	KRAB	SELE	CAD_loci
rs2350632	2	0.35918	1.7075	0.067644	0.95238	0.087735	0.85334	KRAB	SELE	CAD_loci
rs2295888	5	0.13574	1.3136	0.23605	0.98357	0.189	0.87369	KRAB	SELE	CAD_loci
rs357471	1	-0.23601	-0.79499	0.3491	0.98357	0.42662	0.92607	KRAB	SELE	CAD_loci
rs10738606	2	-0.19131	-1.4523	0.27767	0.98357	0.14641	0.85973	KRAB	SELE	CAD_loci
rs55909363	3	-0.074879	-0.69846	0.61873	0.98357	0.48489	0.94289	KRAB	SELE	CAD_loci
rs62233116	5	-0.14353	-0.69965	0.23888	0.98357	0.48414	0.94289	KRAB	SELE	CAD_loci
rs28623525	1	-0.014167	-0.070235	0.99905	1	0.94401	0.99669	KRAB	SELE	CAD_loci
rs58408429	5	-0.2321	-1.8169	0.066225	0.95238	0.069228	0.85334	KRAB	SELE	CAD_loci
rs79138087	5	-0.034967	-0.26255	0.79896	0.98547	0.7929	0.96271	KRAB	SELE	CAD_loci
rs4887818	5	-0.013874	-0.14167	0.94182	0.99761	0.88734	0.98032	KRAB	SELE	CAD_loci
rs60560079	3	0.3269	1.2881	0.043519	0.91379	0.1977	0.87433	KRAB	SELE	CAD_loci
rs4311922	1	-0.51851	-1.5296	0.070956	0.95238	0.12612	0.85334	KRAB	SELE	CAD_loci
rs3824755	5	-0.011974	-0.097673	0.95979	0.99761	0.92219	0.98738	KRAB	SELE	CAD_loci
rs57636940	3	-0.16776	-0.90177	0.26301	0.98357	0.36718	0.91497	KRAB	SELE	CAD_loci
rs56186267	4	0.15179	0.90449	0.21854	0.98357	0.36574	0.91497	KRAB	SELE	CAD_loci
rs629301	3	-0.06349	-0.47329	0.67077	0.98357	0.63601	0.95964	KRAB	SELE	CAD_loci
rs11022735	5	-0.28261	-1.9087	0.030274	0.85897	0.056294	0.84	KRAB	SELE	CAD_loci
rs77020228	4	0.004671	0.039442	0.94939	0.99761	0.96854	0.99867	KRAB	SELE	CAD_loci
rs62233125	5	0.15288	1.9616	0.18969	0.98357	0.04981	0.84	KRAB	SELE	CAD_loci
rs6502613	5	-0.15053	-1.5945	0.21287	0.98357	0.11083	0.85334	KRAB	SELE	CAD_loci
rs1122645	5	-0.086423	-1.0444	0.49338	0.98357	0.29629	0.89323	KRAB	SELE	CAD_loci
17:2185684	3	-0.0019954	-0.021582	0.97209	0.99761	0.98278	0.99867	KRAB	SELE	CAD_loci
rs73074855	5	0.0030372	0.037497	0.93472	0.99761	0.97009	0.99867	KRAB	SELE	CAD_loci
rs7973683	3	-0.099841	-1.1731	0.50189	0.98357	0.24076	0.88626	KRAB	SELE	CAD_loci
Ess_SAM_RPL27	6	0.13763	1.3037	0.17786	0.98357	0.19234	0.87369	KRAB	SELE	essential_genes
rs538656	3	-0.21747	-1.4627	0.15279	0.97989	0.14355	0.85973	KRAB	SELE	CAD_loci
rs11105364	4	0.064551	0.55367	0.56623	0.98357	0.57981	0.95077	KRAB	SELE	CAD_loci
rs3789967	4	0.30328	2.6026	0.028855	0.85897	0.0092509	0.56324	KRAB	SELE	CAD_loci
rs11641532	5	-0.057762	-0.7171	0.64759	0.98357	0.47331	0.94289	KRAB	SELE	CAD_loci
rs6495335	5	0.17146	1.5062	0.1509	0.97989	0.13203	0.85691	KRAB	SELE	CAD_loci
rs6810798	5	-0.10592	-1.1397	0.38884	0.98357	0.25441	0.89225	KRAB	SELE	CAD_loci
rs7687767	4	0.027293	0.22466	0.79896	0.98547	0.82224	0.9671	KRAB	SELE	CAD_loci
rs7224617	3	0.0054368	0.060795	0.93425	0.99761	0.95152	0.99867	KRAB	SELE	CAD_loci
rs66505542	2	-0.043215	-0.5535	0.82025	0.98547	0.57992	0.95077	KRAB	SELE	CAD_loci
rs1332329	5	-0.046616	-0.40424	0.72044	0.98357	0.68603	0.96005	KRAB	SELE	CAD_loci
rs2478835	5	-0.18311	-2.3516	0.12819	0.96099	0.018692	0.66992	KRAB	SELE	CAD_loci
rs8066880	4	-0.22852	-1.7715	0.097919	0.9551	0.076479	0.85334	KRAB	SELE	CAD_loci
rs2133189	2	0.069235	0.66048	0.64191	0.98357	0.50894	0.95077	KRAB	SELE	CAD_loci
rs6494486	5	-0.026057	-0.30431	0.85667	0.98547	0.7609	0.96121	KRAB	SELE	CAD_loci
rs11467641	3	-0.076495	-0.52495	0.61211	0.98357	0.59962	0.95703	KRAB	SELE	CAD_loci
rs56363533	1	0.09673	0.47097	0.60407	0.98357	0.63766	0.95964	KRAB	SELE	CAD_loci
rs71134705	3	-0.13019	-0.6147	0.37938	0.98357	0.53875	0.95077	KRAB	SELE	CAD_loci
rs4757140	5	-0.28805	-1.94	0.026963	0.85897	0.052376	0.84	KRAB	SELE	CAD_loci
rs360137	5	0.084507	0.6517	0.43236	0.98357	0.51459	0.95077	KRAB	SELE	CAD_loci
rs4765541	5	-0.31403	-1.8724	0.018921	0.81633	0.061146	0.84	KRAB	SELE	CAD_loci
rs10430665	2	-0.20751	-1.8444	0.23888	0.98357	0.065131	0.84	KRAB	SELE	CAD_loci
rs998089	5	-0.02183	-0.18526	0.88411	0.98837	0.85302	0.97158	KRAB	SELE	CAD_loci
rs4925094	5	-0.020522	-0.20278	0.89215	0.99368	0.83931	0.97029	KRAB	SELE	CAD_loci
rs3215290	5	0.094509	0.86476	0.39499	0.98357	0.38717	0.91552	KRAB	SELE	CAD_loci
rs117573845	2	0.018114	0.12071	0.88789	0.9905	0.90392	0.98105	KRAB	SELE	CAD_loci
rs6933892	5	-0.031894	-0.48111	0.81741	0.98547	0.63044	0.95964	KRAB	SELE	CAD_loci
rs4846770	5	-0.034105	-0.34266	0.80464	0.98547	0.73186	0.96005	KRAB	SELE	CAD_loci
rs2521501	5	-0.0044574	-0.040819	0.98534	0.99761	0.96744	0.99867	KRAB	SELE	CAD_loci
rs9508036	2	0.13313	0.68523	0.39167	0.98357	0.4932	0.94441	KRAB	SELE	CAD_loci
rs8065020	5	0.074267	0.63962	0.48344	0.98357	0.52242	0.95077	KRAB	SELE	CAD_loci
rs67180937	2	0.022373	0.15323	0.86329	0.98547	0.87822	0.97765	KRAB	SELE	CAD_loci
rs10832012	1	0.16006	0.72893	0.42431	0.98357	0.46605	0.9399	KRAB	SELE	CAD_loci
rs900146	2	-0.28213	-2.4573	0.11921	0.96014	0.014	0.62697	KRAB	SELE	CAD_loci
rs11265611	5	0.085337	0.40626	0.42763	0.98357	0.68455	0.96005	KRAB	SELE	CAD_loci
rs9907147	3	0.049371	0.47316	0.68543	0.98357	0.6361	0.95964	KRAB	SELE	CAD_loci
rs72143595	3	0.058637	0.58743	0.63765	0.98357	0.55692	0.95077	KRAB	SELE	CAD_loci
rs1727919	4	-0.021009	-0.17661	0.8789	0.98835	0.85982	0.97158	KRAB	SELE	CAD_loci
rs10846580	5	0.014186	0.15887	0.86187	0.98547	0.87377	0.97494	KRAB	SELE	CAD_loci
rs9515201	4	-0.26853	-2.8528	0.056291	0.93893	0.0043337	0.39832	KRAB	SELE	CAD_loci
rs11437451	3	0.089056	1.3428	0.49101	0.98357	0.17933	0.86619	KRAB	SELE	CAD_loci
rs4265457	2	0.042636	0.083737	0.76395	0.98357	0.93327	0.99442	KRAB	SELE	CAD_loci
rs6456498	3	-0.083546	-0.57887	0.57994	0.98357	0.56268	0.95077	KRAB	SELE	CAD_loci
rs34273277	5	-0.064835	-0.52268	0.60738	0.98357	0.6012	0.95703	KRAB	SELE	CAD_loci
rs2894421	1	0.11676	0.59722	0.55156	0.98357	0.55036	0.95077	KRAB	SELE	CAD_loci
rs28451064	5	0.16653	1.5635	0.15894	0.97989	0.11794	0.85334	KRAB	SELE	CAD_loci
prom_PLN	5	0.057279	0.4261	0.58089	0.98357	0.67003	0.96005	KRAB	SELE	known_genes
rs2103325	1	0.12923	1.1239	0.51372	0.98357	0.26106	0.89225	KRAB	SELE	CAD_loci
rs12413409	4	0.011235	0.087643	0.91107	0.99742	0.93016	0.99235	KRAB	SELE	CAD_loci
rs35988887	4	0.14722	1.2114	0.22895	0.98357	0.22573	0.88626	KRAB	SELE	CAD_loci
rs7109016	5	0.028213	0.24936	0.77342	0.98357	0.80308	0.96271	KRAB	SELE	CAD_loci
rs17411045	2	0.22373	1.0348	0.18543	0.98357	0.30075	0.89323	KRAB	SELE	CAD_loci
rs6504010	4	0.069402	0.2582	0.535	0.98357	0.79625	0.96271	KRAB	SELE	CAD_loci
Pos_SAM_ATP2A2	5	-0.23666	-1.5019	0.060549	0.95238	0.13313	0.85955	KRAB	SELE	known_genes
rs10416269	2	-0.13857	-1.2769	0.43188	0.98357	0.20164	0.8789	KRAB	SELE	CAD_loci
rs3910516	3	0.075865	0.39243	0.54068	0.98357	0.69474	0.96005	KRAB	SELE	CAD_loci
rs7528419	5	0.064892	0.50967	0.54257	0.98357	0.61028	0.95964	KRAB	SELE	CAD_loci
rs56137176	5	-0.091271	-1.1423	0.46168	0.98357	0.25332	0.89225	KRAB	SELE	CAD_loci
rs8055974	3	-0.015338	-0.16051	0.94418	0.99761	0.87248	0.97486	KRAB	SELE	CAD_loci
rs4888425	5	0.16224	1.2589	0.17029	0.98138	0.20807	0.87893	KRAB	SELE	CAD_loci
Ess_GECKO_PSMD1	6	-0.16878	-1.2842	0.10927	0.9551	0.19908	0.8768	KRAB	SELE	essential_genes
rs58068637	2	0.076488	0.43569	0.60974	0.98357	0.66306	0.96005	KRAB	SELE	CAD_loci
rs9897692	4	0.13121	0.99168	0.272	0.98357	0.32135	0.89539	KRAB	SELE	CAD_loci
rs4409766	3	-0.14973	-1.0115	0.31552	0.98357	0.31178	0.89522	KRAB	SELE	CAD_loci
rs62233075	5	-0.19747	-1.3948	0.10596	0.9551	0.16306	0.86619	KRAB	SELE	CAD_loci
rs11078883	5	-0.24173	-1.616	0.054872	0.93893	0.1061	0.85334	KRAB	SELE	CAD_loci
rs8035093	5	0.095371	0.75035	0.38884	0.98357	0.45304	0.9379	KRAB	SELE	CAD_loci
rs11057412	3	0.030357	0.21881	0.79281	0.98357	0.8268	0.96941	KRAB	SELE	CAD_loci
rs4922117	3	-0.080321	-0.68542	0.58988	0.98357	0.49308	0.94441	KRAB	SELE	CAD_loci
rs11191557	4	-0.12086	-0.50307	0.34153	0.98357	0.61491	0.95964	KRAB	SELE	CAD_loci
rs3215742	5	0.27385	2.0259	0.032167	0.86076	0.042779	0.84	KRAB	SELE	CAD_loci
rs1727893	5	-0.056087	-0.98393	0.65941	0.98357	0.32515	0.89579	KRAB	SELE	CAD_loci
rs4930724	5	0.028416	0.3081	0.77342	0.98357	0.75801	0.96039	KRAB	SELE	CAD_loci
rs945961	5	-0.0055461	-0.043451	0.99149	0.99905	0.96534	0.99867	KRAB	SELE	CAD_loci
rs11862813	2	0.19147	0.56083	0.2474	0.98357	0.57492	0.95077	KRAB	SELE	CAD_loci
rs2362462	5	0.022529	0.36055	0.80085	0.98547	0.71843	0.96005	KRAB	SELE	CAD_loci
rs34484573	5	0.012715	0.17205	0.87228	0.98821	0.8634	0.9719	KRAB	SELE	CAD_loci
rs10908838	2	-0.20152	-1.1539	0.25402	0.98357	0.24855	0.89225	KRAB	SELE	CAD_loci
rs66723169	1	0.016972	0.24508	0.88458	0.98837	0.8064	0.96312	KRAB	SELE	CAD_loci
rs7208501	4	-0.11229	-1.1715	0.3737	0.98357	0.24141	0.88626	KRAB	SELE	CAD_loci
rs6800048	5	0.07111	0.84597	0.50331	0.98357	0.39757	0.9189	KRAB	SELE	CAD_loci
rs9907686	1	-0.0087884	-0.032895	0.98344	0.99761	0.97376	0.99867	KRAB	SELE	CAD_loci
rs377565	2	-0.18027	-1.4736	0.30416	0.98357	0.14059	0.85955	KRAB	SELE	CAD_loci
rs766521	5	0.15849	1.3684	0.1736	0.98138	0.17117	0.86619	KRAB	SELE	CAD_loci
rs2972145	4	-0.018297	-0.12705	0.89593	0.99423	0.8989	0.98105	KRAB	SELE	CAD_loci
rs9624456	2	-0.14774	-0.75809	0.40397	0.98357	0.4484	0.9379	KRAB	SELE	CAD_loci
rs9908888	1	-0.00033829	-0.0042099	0.95222	0.99761	0.99664	0.99867	KRAB	SELE	CAD_loci
rs11022733	1	-0.23049	-1.4107	0.3562	0.98357	0.15833	0.86619	KRAB	SELE	CAD_loci
rs2165854	2	0.026557	0.16969	0.84153	0.98547	0.86525	0.97243	KRAB	SELE	CAD_loci
Ess_GECKO_PSMB2	6	0.11216	1.189	0.24929	0.98357	0.23444	0.88626	KRAB	SELE	essential_genes
rs2246828	5	0.25051	0.72708	0.049669	0.91379	0.46718	0.9399	KRAB	SELE	CAD_loci
rs6853156	5	0.03991	0.43383	0.68307	0.98357	0.66441	0.96005	KRAB	SELE	CAD_loci
rs472109	5	0.15847	1.6464	0.1736	0.98138	0.099677	0.85334	KRAB	SELE	CAD_loci
rs55791371	5	-0.14176	-1.5753	0.24409	0.98357	0.11519	0.85334	KRAB	SELE	CAD_loci
rs2487926	5	0.021683	0.16899	0.80653	0.98547	0.86581	0.97254	KRAB	SELE	CAD_loci
rs79032835	5	-0.062207	-0.56301	0.62204	0.98357	0.57343	0.95077	KRAB	SELE	CAD_loci
rs10580742	2	-0.16365	-0.59026	0.35147	0.98357	0.55502	0.95077	KRAB	SELE	CAD_loci
rs2235422	5	0.080384	1.1089	0.45364	0.98357	0.26745	0.89323	KRAB	SELE	CAD_loci
rs62233083	1	0.18159	0.47277	0.37086	0.98357	0.63638	0.95964	KRAB	SELE	CAD_loci
rs370188930	5	-0.085872	-0.79893	0.49811	0.98357	0.42433	0.92607	KRAB	SELE	CAD_loci
rs55870734	4	-0.026926	-0.21713	0.84626	0.98547	0.82811	0.97005	KRAB	SELE	CAD_loci
rs13423742	3	0.26239	0.99827	0.087512	0.9551	0.31815	0.89539	KRAB	SELE	CAD_loci
rs75673425	3	-0.14087	-1.2968	0.33964	0.98357	0.19469	0.87381	KRAB	SELE	CAD_loci
rs896013	2	-0.18919	-1.3977	0.28051	0.98357	0.1622	0.86619	KRAB	SELE	CAD_loci
rs4888406	5	-0.024557	-0.35523	0.86471	0.98547	0.72242	0.96005	KRAB	SELE	CAD_loci
rs35251820	3	-0.063698	-0.57908	0.66982	0.98357	0.56253	0.95077	KRAB	SELE	CAD_loci
rs8051882	5	0.0019452	0.02059	0.94371	0.99761	0.98357	0.99867	KRAB	SELE	CAD_loci
rs1727940	4	0.099139	0.62748	0.39357	0.98357	0.53035	0.95077	KRAB	SELE	CAD_loci
rs1713853	2	-0.19301	-0.73064	0.272	0.98357	0.465	0.9399	KRAB	SELE	CAD_loci
rs1399627	5	0.078031	0.81593	0.46216	0.98357	0.41454	0.92441	KRAB	SELE	CAD_loci
rs1358405	4	0.22734	1.1053	0.086566	0.9551	0.26905	0.89323	KRAB	SELE	CAD_loci
rs8026598	2	0.044808	0.12185	0.75166	0.98357	0.90302	0.98105	KRAB	SELE	CAD_loci
rs2819351	3	-0.087653	-0.52049	0.56102	0.98357	0.60272	0.95703	KRAB	SELE	CAD_loci
rs61194703	5	-0.046927	-0.6205	0.72044	0.98357	0.53493	0.95077	KRAB	SELE	CAD_loci
rs10743117	3	-0.20614	-0.38709	0.1684	0.98138	0.69869	0.96005	KRAB	SELE	CAD_loci
rs11149833	1	-0.55952	-2.5123	0.058184	0.93893	0.011996	0.62697	KRAB	SELE	CAD_loci
rs34689419	5	-0.17308	-1.8364	0.1509	0.97989	0.066303	0.84436	KRAB	SELE	CAD_loci
rs3851734	4	-0.10487	-1.3297	0.41154	0.98357	0.1836	0.87021	KRAB	SELE	CAD_loci
rs663129	5	0.19148	1.1331	0.11164	0.95547	0.25718	0.89225	KRAB	SELE	CAD_loci
rs62276841	3	0.02537	0.23578	0.82072	0.98547	0.8136	0.966	KRAB	SELE	CAD_loci
rs1882491	2	-0.080991	-0.63465	0.64901	0.98357	0.52566	0.95077	KRAB	SELE	CAD_loci
rs216191	1	0.01675	0.12852	0.88553	0.98891	0.89774	0.98105	KRAB	SELE	CAD_loci
rs1009	5	-0.076064	-0.70944	0.5473	0.98357	0.47805	0.94289	KRAB	SELE	CAD_loci
Pos_SAM_SELE	4	-2.4036	-9.5186	0	0	1.7554e-21	3.711e-18	KRAB	SELE	known_genes
rs357480	2	0.073915	0.51928	0.62015	0.98357	0.60357	0.95703	KRAB	SELE	CAD_loci
rs3046408	3	0.083021	0.75891	0.51466	0.98357	0.4479	0.9379	KRAB	SELE	CAD_loci
rs1527800	5	0.010746	0.098528	0.88079	0.98835	0.92151	0.98738	KRAB	SELE	CAD_loci
rs4420638	2	0.022201	0.13668	0.86518	0.98547	0.89128	0.98032	KRAB	SELE	CAD_loci
rs11022738	5	-0.06047	-0.68892	0.63198	0.98357	0.49087	0.94441	KRAB	SELE	CAD_loci
rs11160538	5	-0.16166	-1.3635	0.18307	0.98357	0.17272	0.86619	KRAB	SELE	CAD_loci
rs56015348	4	0.054159	0.42554	0.62867	0.98357	0.67045	0.96005	KRAB	SELE	CAD_loci
rs6504005	4	0.27536	1.2909	0.0421	0.91379	0.19675	0.87433	KRAB	SELE	CAD_loci
rs11907010	5	-0.012054	-0.137	0.95932	0.99761	0.89103	0.98032	KRAB	SELE	CAD_loci
rs7311969	5	-0.067821	-0.69309	0.59177	0.98357	0.48825	0.94441	KRAB	SELE	CAD_loci
SELE	2	-2.7835	-8.2059	0	0	2.2888e-16	1.6128e-13	KRAB	SELE	known_genes
rs145634520	4	0.066261	0.53708	0.55298	0.98357	0.59121	0.95532	KRAB	SELE	CAD_loci
rs77437249	5	-0.18362	-1.5742	0.12677	0.96057	0.11545	0.85334	KRAB	SELE	CAD_loci
prom_ATP2A3	5	0.0070499	0.077669	0.90728	0.9974	0.93809	0.99554	KRAB	SELE	known_genes
rs1567973	5	-0.23267	-1.8946	0.065752	0.95238	0.058139	0.84	KRAB	SELE	CAD_loci
rs4425772	3	0.04529	0.55091	0.70624	0.98357	0.5817	0.95077	KRAB	SELE	CAD_loci
rs11272653	4	-0.078505	-0.69714	0.53406	0.98357	0.48572	0.94289	KRAB	SELE	CAD_loci
rs11711982	5	-0.11478	-1.1592	0.34957	0.98357	0.24636	0.89225	KRAB	SELE	CAD_loci
rs7214245	2	0.10743	0.95292	0.47729	0.98357	0.34063	0.90327	KRAB	SELE	CAD_loci
rs2410620	5	-0.12059	-0.9785	0.32876	0.98357	0.32783	0.89662	KRAB	SELE	CAD_loci
rs216223	2	0.52841	1.9079	0.016083	0.77273	0.05641	0.84	KRAB	SELE	CAD_loci
rs62233966	5	-0.071161	-0.71065	0.57237	0.98357	0.4773	0.94289	KRAB	SELE	CAD_loci
rs60894440	2	0.24524	1.1486	0.15374	0.97989	0.25071	0.89225	KRAB	SELE	CAD_loci
rs62233128	2	0.15746	1.0738	0.32214	0.98357	0.28293	0.89323	KRAB	SELE	CAD_loci
rs77602510	1	-0.18061	-1.273	0.4579	0.98357	0.20301	0.87893	KRAB	SELE	CAD_loci
rs1441763	5	-0.10578	-1.6085	0.38931	0.98357	0.10773	0.85334	KRAB	SELE	CAD_loci
rs2820311	5	0.080939	0.65541	0.45222	0.98357	0.51221	0.95077	KRAB	SELE	CAD_loci
rs9508037	2	-0.070387	-0.48439	0.68732	0.98357	0.62811	0.95964	KRAB	SELE	CAD_loci
rs357466	5	0.00094441	0.0075771	0.95317	0.99761	0.99395	0.99867	KRAB	SELE	CAD_loci
rs2673134	4	0.053569	0.506	0.63387	0.98357	0.61286	0.95964	KRAB	SELE	CAD_loci
rs4575092	1	0.076374	0.44782	0.67786	0.98357	0.65428	0.96005	KRAB	SELE	CAD_loci
rs10840295	1	0.13021	0.91623	0.51135	0.98357	0.35954	0.914	KRAB	SELE	CAD_loci
rs6547620	2	-0.12064	-0.47134	0.49811	0.98357	0.6374	0.95964	KRAB	SELE	CAD_loci
rs17319967	3	-0.09479	-0.435	0.52602	0.98357	0.66357	0.96005	KRAB	SELE	CAD_loci
rs60173709	5	0.20116	1.2964	0.095553	0.9551	0.19484	0.87381	KRAB	SELE	CAD_loci
rs2713539	2	-0.089054	-0.84811	0.61589	0.98357	0.39638	0.9189	KRAB	SELE	CAD_loci
rs7164479	5	-0.1047	-0.88773	0.39688	0.98357	0.37469	0.91497	KRAB	SELE	CAD_loci
rs12827409	5	0.038874	0.37062	0.69253	0.98357	0.71092	0.96005	KRAB	SELE	CAD_loci
rs11191514	5	0.045377	0.37503	0.65374	0.98357	0.70764	0.96005	KRAB	SELE	CAD_loci
rs1606791	2	0.056002	0.68981	0.70009	0.98357	0.49031	0.94441	KRAB	SELE	CAD_loci
Ess_SAM_RPL11	7	0.18094	1.1339	0.072375	0.95238	0.25683	0.89225	KRAB	SELE	essential_genes
rs375847002	1	-0.2936	-0.87604	0.24598	0.98357	0.38101	0.91497	KRAB	SELE	CAD_loci
rs781663	4	0.10733	0.47886	0.35904	0.98357	0.63204	0.95964	KRAB	SELE	CAD_loci
rs2264750	5	-0.11452	-1.4162	0.35005	0.98357	0.15673	0.86619	KRAB	SELE	CAD_loci
rs144821365	2	-0.11712	-1.1143	0.51183	0.98357	0.26513	0.89323	KRAB	SELE	CAD_loci
rs2227901	5	0.21869	1.9551	0.074267	0.95238	0.050575	0.84	KRAB	SELE	CAD_loci
Pos_GECKO_ITPR3	6	0.082661	1.0135	0.3789	0.98357	0.31084	0.89522	KRAB	SELE	known_genes
rs12295734	1	-0.24524	-1.0001	0.33207	0.98357	0.31725	0.89539	KRAB	SELE	CAD_loci
rs4888422	1	0.0073845	0.20021	0.92195	0.99761	0.84132	0.97029	KRAB	SELE	CAD_loci
rs6688581	5	-0.016751	-0.063945	0.91864	0.99761	0.94901	0.99803	KRAB	SELE	CAD_loci
rs932344	2	-0.03739	-0.37115	0.84721	0.98547	0.71052	0.96005	KRAB	SELE	CAD_loci
rs71134706	2	0.18971	0.77365	0.24976	0.98357	0.43914	0.93548	KRAB	SELE	CAD_loci
rs10871777	2	0.051389	0.5667	0.72422	0.98357	0.57092	0.95077	KRAB	SELE	CAD_loci
rs7197453	5	0.18361	1.0405	0.12677	0.96057	0.29812	0.89323	KRAB	SELE	CAD_loci
rs17114046	5	-0.031952	-0.32972	0.81693	0.98547	0.74162	0.96039	KRAB	SELE	CAD_loci
rs72687508	5	0.018111	0.15804	0.83396	0.98547	0.87442	0.97494	KRAB	SELE	CAD_loci
rs55946144	4	-0.2049	-1.7582	0.12488	0.96014	0.078714	0.85334	KRAB	SELE	CAD_loci
rs7402386	5	-0.07954	-0.77613	0.5298	0.98357	0.43767	0.93548	KRAB	SELE	CAD_loci
rs72664335	3	0.045933	0.44088	0.70341	0.98357	0.6593	0.96005	KRAB	SELE	CAD_loci
rs9912699	1	-0.66134	-2.4365	0.038316	0.9	0.014829	0.62697	KRAB	SELE	CAD_loci
rs59474075	1	0.36416	1.8826	0.13103	0.96853	0.059753	0.84	KRAB	SELE	CAD_loci
prom_TRPV4	5	0.028546	0.20147	0.77247	0.98357	0.84033	0.97029	KRAB	SELE	known_genes
rs2889993	4	0.12177	0.58031	0.30416	0.98357	0.56171	0.95077	KRAB	SELE	CAD_loci
rs1527799	5	0.0030849	0.031265	0.93425	0.99761	0.97506	0.99867	KRAB	SELE	CAD_loci
rs7954039	5	0.10586	0.94548	0.33964	0.98357	0.34441	0.90671	KRAB	SELE	CAD_loci
rs747895	3	0.078274	0.51844	0.53169	0.98357	0.60415	0.95703	KRAB	SELE	CAD_loci
rs17026396	3	-0.13974	-0.95309	0.34342	0.98357	0.34054	0.90327	KRAB	SELE	CAD_loci
